English Word,French Word,Frequency
abide,respecter,45
about,sur,980
above,au dessus,147
abroad,à l'étranger,0
absence,absence,55
abuse,abuser de,76
according,selon,55
account,Compte,0
accuse,accuser,53
acquainted,connaissance,244
action,action,161
advantage,avantage,51
advice,Conseil,0
affairs,affaires,68
affection,affection,118
affections,affections,40
afraid,peur,118
after,après,0
afterwards,ensuite,0
again,encore,1938
alive,vivant,213
almost,presque,161
alone,seul,237
along,le long de,112
already,déjà,0
although,bien que,1338
always,toujours,63
ambition,ambition,49
ancient,ancien,154
angel,ange,334
anger,colère,0
another,un autre,454
answer,répondre,0
anything,n'importe quoi,105
apparel,vêtements,0
appear,apparaître,0
appears,apparaît,0
approach,approche,102
argument,argument,78
ariel,Ariel,0
armour,armure,57
aside,de côté,0
asleep,endormi,60
assure,assurer,71
athens,Athènes,0
attend,assister,0
attended,assisté,0
authority,autorité,0
avoid,éviter,0
awake,éveillé,0
awhile,quelque temps,102
banish,bannir,205
barren,Dénudé,0
bassianus,bassianus,45
bastard,Connard,0
battle,bataille,146
beard,barbe,133
bearing,palier,73
bears,ours,232
beast,la bête,0
beaten,battu,50
beauty,beauté,0
because,car,959
become,devenir,209
bedford,Bedford,0
before,avant,1429
beggar,mendiant,125
begin,commencer,188
behalf,nom,317
behind,derrière,0
behold,voir,213
being,étant,0
believe,croyez,251
belike,être comme,0
below,au dessous de,54
benefit,avantage,51
besides,outre,109
betray,trahir,68
better,mieux,612
between,entre,3252
beyond,au-delà,0
birth,naissance,103
bishop,évêque,0
bitter,amer,100
black,noir,195
blame,faire des reproches,94
bless,bénir,0
blessing,bénédiction,0
blest,heureux,259
blind,aveugle,100
blood,du sang,934
blows,coups,72
blunt,cru,222
blush,rougir,89
bodies,corps,53
bones,des os,76
borne,supporté,0
bottom,bas,738
bought,acheté,0
bound,lié,0
bounty,prime,63
brain,cerveau,154
brains,cerveaux,0
brave,courageux,222
breast,Sein,0
breath,souffle,359
breed,race,127
brief,bref,115
bright,brillant,82
bring,apporter,526
broke,cassé,0
brook,ruisseau,91
brother,frère,0
brought,apporté,0
brows,sourcils,135
burden,fardeau,60
buried,enterré,0
burning,brûlant,0
business,Entreprise,0
cannot,ne peux pas,762
capitol,Capitole,0
captain,capitaine,161
cardinal,cardinal,172
cares,se soucie,36
carry,porter,318
castle,Château,0
catch,capture,92
cause,cause,362
cease,cesser,52
certain,certain,213
chain,chaîne,0
chair,chaise,46
challenge,défi,0
chamber,chambre,159
chance,chance,139
change,changement,199
charge,charge,452
charity,charité,0
chaste,chaste,0
cheek,joue,150
cheer,acclamation,132
chide,gronder,59
chief,chef,75
child,enfant,377
choice,choix,72
church,église,0
cinna,cinna,40
citizen,citoyenne,80
civil,civil,58
claim,prétendre,0
clarence,clarté,0
claud,claud,307
claudio,Claudio,0
clear,clair,86
clifford,Clifford,0
close,proche,204
cloten,cailloter,21
clothes,vêtements,0
clouds,des nuages,59
clown,pitre,61
college,Université,0
colour,Couleur,0
comes,vient,626
comfort,confort,242
coming,venir,223
cominius,cominius,104
command,commander,291
commanded,commandé,0
commend,saluer,239
commercial,commercial,442
commission,commission,52
commit,commettre,86
common,commun,250
companion,un compagnon,55
company,entreprise,442
complete,Achevée,0
complexion,complexion,47
condition,état,0
conduct,conduite,53
confess,avouer,185
conscience,conscience,127
consent,consentement,112
consider,considérer,0
constable,gendarme,44
constant,constant,57
contempt,mépris,0
content,contenu,232
contrary,contraire,47
copies,copies,446
copyright,droits d'auteur,7
could,pourrait,1326
council,conseil,277
counsel,Conseil,0
count,compter,605
counterfeit,contrefaire,0
countess,comtesse,0
country,pays,28
courage,courage,301
course,cours,186
court,tribunal,445
courtesy,courtoisie,0
cousin,cousin,287
coward,lâche,0
crave,demander,0
creature,créature,0
credit,crédit,0
cromwell,Cromwell,0
cross,traverser,119
crown,couronne,394
cruel,cruel,100
cunning,ruse,81
cupid,Cupidon,0
curse,malédiction,0
custom,Douane,0
dagger,dague,57
damned,damné,0
dance,Danse,0
danger,danger,47
darkness,obscurité,0
daughter,fille,658
deadly,mortel,171
dearest,très cher,0
dearly,chèrement,0
death,décès,0
deeds,actes,118
defend,défendre,0
degree,diplôme,0
delight,délice,0
deliver,livrer,198
demand,demande,247
denied,refusé,0
depart,partir,98
desert,désert,0
deserve,mériter,0
desire,le désir,0
despair,désespoir,0
desperate,désespéré,0
despite,malgré,0
device,dispositif,49
devil,diable,297
devise,concevoir,57
didst,didst,183
dinner,dîner,0
discourse,discours,231
discover,découvrir,0
disgrace,disgrâce,0
dishonour,déshonorer,0
dispatch,envoi,92
displeasure,mécontentement,0
disposition,disposition,50
distributed,distribué,0
divine,Divin,0
doctor,docteur,92
doing,Faire,0
dolabella,Dolabella,0
doors,des portes,62
double,double,127
doubt,doute,238
download,Télécharger,0
dramatis,dramatis,36
drawn,tiré,0
dread,crainte,121
dreadful,horrible,25
dream,rêver,0
dreams,rêves,0
drink,boisson,218
drops,gouttes,56
drown,noyer,108
drums,tambours,41
drunk,ivre,172
duncan,Duncan,0
durst,durst,51
dwell,habiter,0
dying,en train de mourir,48
early,de bonne heure,50
earth,Terre,0
edmund,Edmund,0
effect,effet,553
egypt,Egypte,0
either,Soit,0
elbow,coude,30
elder,aîné,0
embrace,embrasse,84
emilia,Émilie,0
emperor,empereur,107
empty,vide,64
encounter,rencontre,110
endure,supporter,885
enemies,ennemis,111
enemy,ennemi,278
enjoy,prendre plaisir,71
enobarbus,énobarbus,0
enough,assez,402
enter,entrer,2568
entertain,divertir,0
entertainment,divertissement,0
entreat,supplier,159
equal,égal,0
estate,biens,57
eternal,éternel,0
every,chaque,555
everything,tout,164
excellent,excellent,125
except,sauf,219
excuse,excuse,86
execution,exécution,0
exeter,Exeter,0
exeunt,sortir,1035
express,Express,0
faces,visages,57
